"id","type","name","date","start","end","abstract","track","venue","format","subs","authors","moderator","","","","","","","","","","","","",""
"27","Session","Modeling the Social Structure of Science","2021-11-14","9:00:00","11:45:00","<p>Metascientists and philosophers of science are interested in what makes science work as it does. Formal models of scientific practice are one way to do this. In recent years, philosophers of science have been using formal models to investigate the role of incentives, institutions, and communication structures in informing the outcomes of accuracy, efficiency, and equity in science. In parallel, researchers in the metascience movement have also been using formal models to understand the causes and consequences of the replication crisis in the social and biomedical sciences. Both communities have converged, from different trajectories, on the central question: What is the role of the social structure of science in helping and hindering the aims of scientific progress and credibility? </p><p> </p><p>This interdisciplinary symposium will present theses centered around the possibility of studying the social structure of science using formal models and serves to connect active research programs investigating the social epistemology of science. The aim is to provide a presentation of the state-of-the-art of the literature on social epistemology of science and to foster intellectual progress in the field by connecting scholars from diverse backgrounds, including philosophy of science, computer science, cognitive science, and cultural evolutionary theory.</p>","Game Theory","Key Ballroom 03","Hybrid Presentation","Intervention and Backfire in the Replication Crisis|Scientific Progress and the Courtroom|Community Characteristics and the Spread of Better Scientific Methods|The Dynamics of Journal Prestige||","Cailin O'Connor, Aydin Mohseni, Kevin Zollman, Paul Smaldino","Sophia Crüwell","","","","","","","","","","","","",""
"28","Session","Opening Up Open Science","2021-11-14","9:00:00","11:45:00","<p>The open science movement is attracting significant attention from the scientific community in an effort to increase the reliability of science, promote scientific innovation, and make scientific information widely available to non-specialists. It encompasses a wide variety of initiatives, such as publishing in open-access venues, making study data and methods publicly available, pre-registering study designs in trial registries, encouraging the publication of negative as well as positive results, and making peer review reports publicly available.</p><p> </p><p>As this movement develops, philosophers of science interested in doing socially engaged work have important opportunities to help shape open science in ways that maximize its strengths and minimize its weaknesses. This symposium focuses especially on four aspects of the open science movement that merit philosophical consideration: the importance of fostering epistemic diversity and pluralistic confrontation within open science, the challenges of implementing pre-registration as a strategy for promoting replicability, the potential for using preprint repositories to certify research quality while promoting openness, and the steps needed to fulfill the open science movement's goal of facilitating better decision making by non-specialists.</p>","Science policy","","Remote Presentation","Open Science and Epistemic Diversity: Friends or Foes? |Openness About Openness: Why Pre-registration Is Failing and What To Do About It |Certify Pre-Prints|Making Open Science Work for Non-Specialists|Commentary|","Kevin Elliott, Patricia Soranno, Carole Lee, Sabina Leonelli, Felipe Romero","PSA Office,  Jackie Sullivan,  Jessica Pfeifer","","","","","","","","","","","","",""
"29","Session","Pluralism in Psychiatric Research: Insights from Philosophy of Science ","2021-11-13","9:00:00","12:15:00","<p>Pluralism in philosophy of science is committed to the idea that scientific phenomena are complex and that they require multiple theoretical frameworks to be fully explained and intervened upon. Adopting such a pluralistic framework, recent work in feminist philosophy of science as well as in philosophy of medicine has emphasized taxonomic pluralism and the possibility of the coexistence of crosscutting classifications of scientific domains, each of which captures important aspects of the (complex) target of scientific inquiry. This symposium proposal takes cues from these discussions, and explores their implications for the philosophy of psychiatry. Mental disorder is an intricate and multi-dimensional phenomenon that is intimately tied to an individual, their biology, and their social and cultural contexts, warranting multiple explanatory frameworks to enhance psychiatric epistemology. Papers in the symposium will examine how psychiatric knowledge is made by reflecting on taxonomies that are based on biological mechanisms, natural kinds, theoretical causal models, as well as those incorporating patients' perspectives and realities. Rather than presupposing that there is one correct taxonomy for psychiatric disorders, these papers proceed on the assumption that different psychiatric taxonomies track different properties and processes, thereby serving different interests (e.g., explanation, prediction, intervention).</p>","Feminist Philosophy of Science","Key Ballroom 10","In-Person Presentation","Biological Essentialism and the Projectability of Psychiatric Categories|Pluralism in Psychiatry Encompasses both Natural and Practical Kinds|Pluralism and Progress in Psychiatry|Reclassifying Body Dysmorphic Disorder:  A Causal Model Informed by the Patient’s Perspective|Participatory Intersubjective Objectivity in Psychiatric Epistemology|Commentary","Jonathan Y. Tsou, Dr. Serife Tekin, Robyn Bluhm, MIRIAM SOLOMON, Peter Zachar, Muhammad Ali Khalidi, Amy MacKinnon","Justin Garson","","","","","","","","","","","","",""
"30","Session","Stability Concepts in Ecology and Their Practical Implications","2021-11-14","9:00:00","11:45:00","<p>Stability is a recurrent theme in ecological disciplines, but it is notoriously difficult to define. It also comes with a rather rich lexical field that includes notions such as equilibrium, balance, resilience, resistance to disturbance, and ecosystem health. Indeed, stability is part of many conceptual frameworks in ecology and as such, it shapes how researchers apprehend and describe their target system. Perhaps unsurprisingly, debates surrounding this notion are also quite diverse. Many have debated how to define and measure various forms of stability, others have discussed whether it is present or absent in ecological entities, and yet others have endorsed it, sometimes implicitly, as a value in ecological management. The papers in this session will introduce debates in ecology and environmental science that illustrate the centrality of this notion; how it has and still shapes ecological practices and values in important ways.</p>","Philosophy of Biology - ecology","","Remote Presentation","Spatial Stability Is an Ecological Stability Concept We Need|Different Meaning in Different Sizes: Ecology in Size Scales |From Risk to Resilience in Environmental Impact Assessment|Ecosystem Stability, Equilibrium or Resilience Are Not Sufficient for Ecosystem Health|Stability and Land Health|","Eric Desjardins, Dr. Tamar Schneider, Antoine C. Dussault, Roberta L Millstein, Christopher Eliot","PSA Office,  Jessica Pfeifer,  Imafedia Okhamafe","","","","","","","","","","","","",""
"31","Session","From Bosons to Markets to Black Holes: New Prospects for Analogical Reasoning","2021-11-11","13:00:00","15:00:00","<p>Analogical reasoning has a long history in science, but has played a particularly prominent role in examples involving physics recently, from particle to condensed matter to black hole physics, as well as econophysics. These cases appear to raise new philosophical questions about arguments from analogy. Is analogue confirmation possible? That is, is it possible for an experiment on an analogue system to confirm hypotheses about an unmanipulable and inaccessible target system? Can formal analogies alone deliver useful information about a target system? How and under what circumstances? These issues will be examined both from a general philosophical perspective and on the basis of recent scientific practice. Comparisons will be made to uses of analogies in archaeology, evolutionary biology, medicine, and economics.</p>","Logic and Science","","Remote Presentation","Prospects for Analogue Confirmation|On the Limits of Experimental Knowledge|The Methodological Novelty of Formal Analogical Reasoning in Quantum Theories|Analogical Reasoning in Econophysics||","Paul Bartha, Patricia Palacios, Doreen Fraser, Dominik Hangleiter","PSA Office,  Michael Hicks,  Jessica Pfeifer","","","","","","","","","","","","",""
"32","Session","The Major Transitions in Cognitive Evolution","2021-11-13","14:00:00","16:00:00","<p>As we come to appreciate the wealth and diversity of intelligences, the challenge becomes how to make sense of this complexity. How can we comprehend it in a systematic way? In this symposium, we explore the idea that one important piece of the puzzle involves treating the evolution of cognition as a series of major transitions. Each transition involved a qualitative change in information flow within nervous systems. Each transition opened up new cognitive capacities, while transforming the power and scope of existing cognitive functions. We consider several aspects of the major transitions framework: the role of learning, brain size, and resource constraints on the evolution of nervous systems; the relationship between major transitions and behavioral innovation; and the implications of major transitions on methods in psychology. This symposium contributes to contemporary debates in general philosophy of science, philosophy of biology and philosophy of cognitive science while drawing on work in evolutionary biology, computational neuroscience and comparative psychology.</p>","Philosophy of Cognitive Science","","Remote Presentation","Cognition with Large and Small Brains|Mapping out the Landscape: A Multi-Dimensional Approach to Behavioural Innovation|Associative Learning as a Null Model|Explaining Neural Transitions through Resource Constraints||","Andrew Barron, Colin Klein, Rachael Brown, Marta Halina","PSA Office,  Jessica Pfeifer,  David Harrison","","","","","","","","","","","","",""
"33","Session","Transformative Experience for Choice and Belief","2021-11-11","15:15:00","17:15:00","<p>The problem of transformative experiences for decision theoretic frameworks was raised by L. A. Paul in 2014. Paul challenges our ability to discern the utilities of the outcomes for many important life decisions, and which utilities to take as relevant. Concurrently in decision theory circles, there have been efforts to develop Bayesian models of belief and preference change to accommodate a kind of transformation: during deliberation we can come to entertain new propositions which were previously inconceivable to us. This symposium focuses on the intersection of the two fields: the problem of indeterminate utilities, and belief revision in models where the state space is refined or expanded.</p>","Decision Theory","","Remote Presentation","L. A. Paul’s Transformative Experience: Mentalism and Imagination in Decision Theory|The Transformative Experience of Education|Awareness Growth and the Limits of Rational Planning|Awareness of Unawareness When Unknowns Are Not Simply Unknowns||","Saira Khan, Richard Pettigrew, Marie-Louise Viero, Katie Steele, H. Orri Stefansson","PSA Office,  Dan Hicks,  Sarah Robins,  Jessica Pfeifer","","","","","","","","","","","","",""
"34","Session","Animal Consciousness and Welfare","2021-11-13","9:00:00","12:15:00","<p>Animal consciousness and animal welfare research are both emerging fields, with important overlap in methods and subject matter. Research into animal consciousness can tell us about the experiences of animals, as well as help us understand more about the evolution and functioning of our own minds. However, it also has important ethical implications, as conscious experience grounds animal welfare considerations. The ways in which we understand animal consciousness, and which animals we take to possess consciousness, will affect our moral decision-making as it regards animals.</p><p>This symposium brings together researchers from around the world, working in both philosophy and science, to examine how our understanding of the evolution and functioning of animal consciousness can inform the theory and practice of animal welfare.</p>","Philosophy of Biology - general / other","","Remote Presentation","Two Paths to Skepticism about Animal Consciousness|Animal Consciousness and Animal Welfare|Felt Unpleasantness and the Measurement of Animal Suffering|Integrating Animal Consciousness into Welfare|Welfare and Animal Culture|","Heather Browning, Jonathan Birch, Henry Shevlin, Eva Jablonka, Simon Fitzpatrick, Kristin Andrews","PSA Office,  Rob Wilson,  Jessica Pfeifer","","","","","","","","","","","","",""
"35","Session","Randomness in Scientific Practice","2021-11-12","14:00:00","16:00:00","<p>Randomness plays important roles in statistical methods, simulations, randomized trials and other experimental practices, numerical approximation, and theorem-proving. The diverse talks in this session illustrate why randomness is a rich and important area for research in philosophy of science. Speakers examine a variety of epistemological roles of different kinds of randomness from a variety of perspectives, drawing implications for methodology, epistemology, and metaphysics. Talks in this session look at roles of randomness in experiments, simulations, and statistical inference. We discuss uses deterministic randomness to solve a problem concerning experimental testing in quantum mechanics, look at whether uses of pseudorandom number generators in simulations provide evidence for pseudorandomness in nature, consider the use of random sequences as the basis of priors in Bayesian methods, and examine ways to mitigate problems due to randomness in data. Talks in this session treat randomness as a property of sequences of events, as a characteristic of sources generating events, and as a characteristic of empirical data.</p>","Probability and Statistics","","Remote Presentation","Randomization Posits and Fundamental Physics|On the Statistical Notion of ""Population""|Randomness and Confirmation |Pseudorandomness in Simulations and Nature||","Marshall Abrams, Antony Eagle, Wayne Myrvold, Barbara Osimani","PSA Office,  Marshall Abrams,  Wayne Myrvold,  Jessica Pfeifer","","","","","","","","","","","","",""
"36","Session","The Rationality of Social Learning","2021-11-12","14:00:00","16:00:00","<p>Our symposium presents conceptual and formal results on epistemological aspects of social deliberation. It focuses on situations where experts record the opinions of others and adapt their own opinion accordingly, or where a decision maker determines her opinion on the basis of the opinions in a group of experts. The symposium consists of four papers that jointly span the space between psychological studies of deliberation and formal philosophical models of it. All papers are aimed at rationalizing deliberative practices and finding constraints on how rational social learning can obtain. The symposium has a high degree of internal coherence as it builds on a series of workshops held over the past few years within the ""ColAForm"" project, a research network on Collective Attitudes Formation. While focused on a specific set of themes in formal social epistemology, our symposium references a much wider research tradition in social epistemology. Insight into the rationality of social deliberation is highly relevant to studies of the social dimension of scientific inquiry, and hence to the philosophy of science, especially in its focus on science as a social process.</p>","Formal Epistemology","","Remote Presentation","The Role of Reliability Updating in Belief Polarization on Mixed Evidence|Extremizing: Social Learning Meets Inductive Logic|Support for Geometric Pooling|Weighted Averaging and Testimonial Updates||","Jan-Willem Romeijn, Jean Baccelli, Leah Henderson, Mikaël COZIC, Denis Bonnay","PSA Office,  Jessica Pfeifer,  David Kelley","","","","","","","","","","","","",""
"37","Session","Austere Approaches to Information and Representation in Cognitive Science","2021-11-13","9:00:00","12:15:00","<p>The belief that cognition trades on representations is foundational to cognitive science; yet the theoretical underpinnings of the notions of representation and information are, paradoxically, still in flux. First, the Fodorian conception of representations as symbols in a computational system still looms large. This has pushed an important minority of cognitive scientists to skepticism about the very notion of representation. Second, there is some tension between our best contemporary theories of representation in philosophy, with their rich foundation of ancillary notions (biological function, sender-receiver architectures, causal-informational connections or asymmetries, structural correspondence, etc.); and actual appeals to representation in science, more austere, and apparently based only on the existence of correlation between neural and worldly variables. </p><p> </p><p> We aim to shed light on these central issues in the philosophy of cognitive science by examining the structure of austere conceptions of representation and information. We will:</p><p> </p><p> i. Discuss a number of conceptions of representation and information that are widely used in cognitive science, and are typically more austere than standard philosophical ones.</p><p> ii. Provide a clearer picture of the roles that cognitive scientists expect representation and information to play.</p><p> iii. Explore the extent to which the above conceptions can discharge them.</p>","Philosophy of Cognitive Science","Key Ballroom 11","Hybrid Presentation","Conventional Meaning in the Brain?|Information Theory is a Formal Theory of Representation|Transformation over Transmission: Shifting the Focus of the Information Metaphor in Computational Neuroscience|Analog Information and Representation|Episodic Memories as Cognitive Maps|","Manolo Martínez, Sarah Robins, Grace Lindsay, Charles Rathkopf, Corey Maley","Manolo Martínez","","","","","","","","","","","","",""
"38","Session","Women's Caucus Prize Symposium: Conceptual and Methodological Challenges in Algorithmic Fairness","2021-11-13","9:00:00","12:15:00","<p>Machine learning models already drive decisions in numerous sensitive domains, including social services, healthcare, financial services, and criminal justice. Importantly, however, predictive models trained on imperfect data may amplify disparities, inequalities, and biases that are encoded into that data. The emerging field of algorithmic fairness aims to orient algorithm design towards respecting ideals of fairness and justice, variously defined. This multidisciplinary symposium will bridge the technical literature on algorithmic fairness with philosophy of science by introducing philosophers of science to some of the main challenges faced by applied researchers and bringing to bear philosophical analysis on some of the contested ingredients of fair machine learning proposals. Participants come from backgrounds in philosophy, computer science, sociology, law, and the tech industry.</p>","Philosophy of Technology","Key Ballroom 03","Hybrid Presentation","A Non-Ideal Perspective on Algorithmic Fairness|Fairness in Data-Driven Decision-Making: A Causal Modeling Perspective|What’s Sex Got to Do with Machine Learning?|Risks of Compounding Injustices in Automated Recruiting|Racial Categories in Algorithmic Fairness: Methodological Issues and Recommendations|","Sina Fazelpour, Maria De-Arteaga, Lily Hu, Emily Denton, Daniel Malinsky","Dan Li","","","","","","","","","","","","",""
"39","Session","Reconstructing Geologic Time","2021-11-14","9:00:00","11:45:00","<p>Reconstructing geologic time-the 4.5 billion years of Earth's history-is a vast interdisciplinary scientific project raising a tangle of conceptual and methodological issues. Scientists have organized geologic time into a hierarchical set of units known as the Geological Time Scale (GTS). The GTS sets the temporal framework for measuring the timing and tempo of all major geological, biological, and climatic processes and events in Earth's history, and hence plays a foundational role in many sciences. The aim of this symposium is to explore some of the key philosophical issues involved in the reconstruction of geologic time-a topic that has been virtually unexplored by philosophers of science. This symposium will address methods for synchronizing the imperfect clocks of geologic time (Valde), strategies for reconstructing time from the missing stratigraphic record (Bokulich), conventionality versus naturalness in delimiting the units of geologic time (Witteveen), methodological insights from shallow-time stratigraphy (Santana), and the high scientific and social costs of failing to recognize the Anthropocene as a formal unit of the GTS (Bobadilla). This symposium marks a timely and important contribution to the rapidly growing interest in the philosophy of the historical and Earth sciences.</p>","Philosophy of Geology / Geophysics","Key Ballroom 11","Hybrid Presentation","Fossil and Molecular Clocks|Learning to Measure What Isn't There: The Problem of Missing Time|Golden Spikes, Silver Bullets, and the Ma(r)king of Chronostratigraphic Boundaries|Deep Sediments; Shallow Time|What is at Stake in the Formalization of a Chronostratigraphic Unit?  A Case Study on the Anthropocene|","Alisa Bokulich, Hernan Bobadilla, Carlos Santana, Joeri Witteveen, Katherine Valde","Beckett Sterner","","","","","","","","","","","","",""
"40","Session","Scientific Speculation","2021-11-13","9:00:00","12:15:00","<p>Some scientists and philosophers declare speculating to be an illegitimate scientific activity, serving no purpose. Others say that it serves the purpose of initiating and developing a scientific inquiry, which could not be done without it. Of the latter, some believe that speculating is legitimate provided it is not subject to any constraints at all and is followed soon by experimental testing. Still others say that speculating in science should be encouraged and subject to no constraints, even if the speculations are never tested. And to complicate the scene even more, some say that that speculations should be encouraged and subject to constraints, but that these are empirical, local, and contextual, not universal or a priori. The aim of the proposed symposium is to focus on the purpose and legitimacy of speculating in science, and on the question of the nature of the constraints, if any, that should be imposed. Are there legitimate ways to develop as well as evaluate speculations, as speculations, without experimentally testing them? The panelists plan to examine speculations made in different sciences with the aim of dealing with these questions and others.</p>","Confirmation and Evidence","Key Ballroom 01","Hybrid Presentation","Maxwell and Speculation |The Darwinian Tree of Life Project: Heuristic and Aesthetic Roles for Speculation|Newton on Speculation|Moving Beyond Speculation: Testing Hypotheses with Computer Simulation|Speculation in Science and Metaphysics|The Nature and Status of Speculation in the Life Sciences Around 1800","Richard Richards, Peter Achinstein, Bradford Skow, Wendy Parker, Jutta Schickore, William Harper","Dr. Daniel Kostic","","","","","","","","","","","","",""
"41","Session","Epistemic Status and Research-Strategic Role of Theories beyond the Standard Model after the Large Hadron Collider","2021-11-12","14:00:00","16:00:00","<p>The symposium discusses the epistemic status and research-strategic role of theories beyond the Standard Model in current particle physics. While a wide spectrum of theories beyond the Standard Model have been developed in recent decades and a lot of relevant data has been collected at the Large Hadron Collider (LHC), no theory beyond the Standard Model has found empirical confirmation up to this point. This situation raises two strategic questions. How can the current status of theories beyond the Standard Model be assessed most adequately? And how should the empirical search for new physics be directed in the most effective way? Both questions are of eminent importance for the future of particle physics and both are rooted in substantial philosophical issues, such as the relation between empirical testing and theoretical analysis or the mechanism of theory confirmation. The symposium brings together expertise in physics, the philosophy of physics and the history and sociology of science to investigate these philosophical issues.</p>","Philosophy of Physics - general / other","Key Ballroom 04","Hybrid Presentation","Something from Nothing: ‘Non-discovery’ and Transformations in High Energy Experimental Physics at the Large Hadron Collider|Signalism vs. the Bsm Perspective: A Debate on the Role of Theory in Experimental Discovery|A Bayesian Perspective on the Search for Low Energy Supersymmetry|What Is This Thing Called Theory Space? ||","Richard Dawid, James Wells, Radin Dardashti, Sophie Ritson","Dr. Brandon Boesch","","","","","","","","","","","","",""
"42","Session","Philosophical Issues in Meta-analysis ","2021-11-13","14:00:00","16:00:00","<p>In many sciences, it is considered the ""platinum standard of evidence"" (Stegenga 2011). So far, the small but growing philosophical literature on meta-analysis focuses on whether meta-analysis deserves its high evidential status in the biomedical sciences (e.g. Stegenga 2011; Jukola 2015; Holman 2019). While such questions are important, there are further philosophical issues related to meta-analysis that have received almost no attention. We propose a symposium that contributes to the existing philosophical debate about meta-analysis while also extending the literature to address the questions about meta-analysis and replication, meta-analysis and the incentive structures of science, and the role of meta-analysis in other disciplines (e.g. ecology).</p>","Confirmation and Evidence","Key Ballroom 09","Hybrid Presentation","Conventional Choices in Outcome Measures Influence Meta-Analytic Results|Replication Is for Meta-analysis|Reliability Weighting in Meta-analysis as a Response to the Replication Crisis |Just Leave It Alone? Recovery Metrics in Ecosystem Restoration||","Hamed Tabatabaei Ghomi, William Berger, Samuel Fletcher, Karen Kovaka","Karen Kovaka","","","","","","","","","","","","",""
